Class,Script
Account Balance,每個月幾時會排息
Account Balance,戶口介面顯示既數字係咩意思
Account Balance,可唔可以通過電話問我戶口仲有幾多錢
Account Balance,有冇得係電腦上面睇到我戶口仲有幾多錢
Account Balance,每個月月結單幾時出
Account Balance,月結單有唔知咩來源既付款
Account Balance,我可依從咩途徑知道戶口結餘
Account Balance,戶口結餘要幾多先可以升級帳戶
Account Balance,有咩資料需要去申請開戶
Account Balance,可唔可以更改我戶口既資料
Account Balance,嗰幾種唔同既結餘數目係咩意思
Account Balance,升級帳戶需要幾多錢係我既戶口入面
Account Balance,如果戶口結餘低過一個數量會唔會俾人降級
Account Balance,我想取消戶口
Account Balance,點解我收到通知我既戶口將會係未來被取消
Account Balance,月結單係邊到可以睇到
Account Balance,戶口結餘可唔可以擺係另一個帳戶到
Account Balance,點解我嗰戶口結餘少左錢既
E-banking,你好呀 我個銀行app唔知點解開唔到入去喎 我想問可以點做
E-banking,我收唔到我既安全碼登入唔到我既帳戶
E-banking,我嗰網上理財鎖左唔比我改密碼同登入
E-banking,我想了解下我可唔可以係兩部唔同既裝置登入網上理財
E-banking,點樣開始我既網上戶口
E-banking,我想改我網上理財既密碼但收唔到通知
E-banking,我唔記得左我既密碼啊唔好意思
E-banking,保安編碼係咩黎㗎
E-banking,我可唔可以轉我既認證碼去另一個戶口
E-banking,點樣用網上理財換領我既獎賞
E-banking,唔知點解我登記唔到網上理財
E-banking,點樣用你地嘅網上銀行服務
E-banking,有冇得透過網上銀行改我既個人資料
E-banking,我用唔到我既網上理財戶口
E-banking,網上銀行入唔到
FX,有啲咩外匯買賣服務
FX,買賣外匯可唔可以定底限價
FX,外匯有啲咩監管限制
FX,交易外匯有啲咩管制
FX,外幣有啲咩類別可以揀
FX,過左服務時間外幣交易會唔會仲有得用
FX,如果我想將我啲英鎊轉去另一個戶口可唔可以
FX,想問問可唔可以將日圓轉做歐元
FX,我可以係咩平台買賣外匯
FX,點樣可以獲得更多外匯信息
FX,FX服務係唔係提供 24小時服務
FX,有啲咩外匯貨幣選擇
FX,想問可以係邊到睇到最新匯率
FX,點樣知道我係唔係合符外匯投資既資格
FX,外匯投資指示洗唔洗要交幾多錢
FX,我想交易澳幣有冇話限額係幾多
FX,如果我想換法郎最快幾時可以批核到
FX,你地銀行有冇得換現金
FX,我嚟緊想換人民幣可唔可以定低我想要既匯率係到嗰價錢嗰陣即刻兌換
FX,我嗰外匯戶口已經有美元係入面我想換加元係我定低既價錢到左同埋交易左之後 我會唔唔會收到通知
FX,想問問依家兌換貨幣既利率係幾多
FX,有啲咩貨幣可以換
FX,交易貨幣有冇手續費
FX,我可唔可以轉我啲美元去海外帳戶
Mortgages,想預約按揭meeting時間
Mortgages,Apply 按揭貸款有啲咩文件要預備
Mortgages,我有一份文件冇可唔可以照申請定係要去分行處理
Mortgages,想問下可以點睇我最大既貸款額
Mortgages,有啲咩中介人可以用
Mortgages,按揭律師行可唔可以自己揀
Mortgages,我需唔需要為按揭物業購買火險
Mortgages,我可唔可以自己揀火險供應商
Mortgages,有啲咩還款計畫可以揀
Mortgages,我可以更改至另一個不同的按揭計劃嗎
Mortgages,我可以提早償還部分或全部的按揭貸款嗎
Mortgages,定額或漸進還款計劃啫係點
Mortgages,如果我唔係香港我可唔可以申請呢個按揭服務
Mortgages,信貸評級要幾多先可以申請按揭
Mortgages,違約利息既規例要幾多
Mortgages,首期同貸款既比例要幾多
Mortgages,資料審查需要幾耐
Mortgages,按揭收費既基準係咩
Mortgages,申請按揭有啲咩要求
Mortgages,可唔可以同時申請兩單按揭
Mortgages,有啲咩按揭保障方案
Mortgages,可唔可以解釋一下按揭保障方案係點樣
Mortgages,按揭貸款申請需要幾耐先可以批核
Mortgages,我既按揭貸款被拒絕左可以點樣重新申請
Insurance,我要claim你地個意外保險
Insurance,hello 我想查一查我喺你地銀行有冇強積金戶口呀
Insurance,我交咗保費但你個通知書話我未交喎
Insurance,我想upgrade個醫療plan要點做
Insurance,我想問個醫療plan係咪一定要我比咗錢先再claim架
Insurance,我想問取消份儲蓄會唔會扣我錢
Insurance,我想問交完claim form幾時會批
Insurance,保單應該交去邊
Insurance,想睇下我符唔符合保單要求
Insurance,想轉保險計劃可以點轉
Insurance,如果保單條款有變會唔會收到通知
Insurance,可以點睇翻強積金個比例
Insurance,想停止供款可以點處理
Insurance,你好啊想問下可唔可以轉我既人壽保去另一個計畫
Insurance,想問我可以點樣轉保險計劃
Insurance,可以係邊到睇到我人壽保既計畫公款
Insurance,我可唔可以自己set我既強積金plan
Insurance,強積金可唔可以提早轉出嚟
Insurance,我想將其他戶口既mpf都轉過嚟
Transfer Services,我嗰FPS用唔到
Transfer Services,我過左數但係人地收唔到
Transfer Services,過數去外國銀行要幾耐
Transfer Services,個系統顯示我嗰代碼無效
Transfer Services,想問下轉帳會唔會係即日搞掂
Transfer Services,我唔小心轉帳左比一個錯誤既戶口想問下可唔可以取消交易
Transfer Services,你好啊FPS唔知點解用唔到
Transfer Services,想問下呢點解個FPS用唔到係唔係維護緊定點
Transfer Services,如果我想過數去外國既話可以點樣過
Transfer Services,每一個轉帳會唔會有手續費
Transfer Services,有冇方法可以外國人可以收到我啲錢
Transfer Services,我之前send過錢比一個人但係今次reject左想問下點解今次唔得
Transfer Services,點解我過唔到數比人之前都得但係今次個交易比人拒絕做
Transfer Services,我唔係香港嗰陣用唔用到FPS
Transfer Services,我可唔可以用FPS收到阿里付款既錢
Transfer Services,申請FPS要等幾耐先成功
Transfer Services,用外國電話申唔申請到fPS
Transfer Services,比完錢人我會唔會收到轉賬是否成功的通知
Transfer Services,為甚麼我需要重新登記受款人資料「轉數快」推出前我並未遇到過此類問題而我和受款人都未有登記「轉數快」。 
Transfer Services,用轉輸快有乜好處
Transfer Services,如果有人轉賬去我既滙豐戶口我會唔會收到通知
Transfer Services,點樣睇番我的小額轉賬限額 
Transfer Services,點樣改變我既小額轉帳限額
Transfer Services,轉數快嗰電子錢包工具有冇金額上限 
Transfer Services,如果我輸入的過數銀碼超過小額轉賬每日限額會有啲咩問題
Transfer Services,管理自動轉賬指定金額及最高金額有咩分別 
Transfer Services,付款筆數係咩  
Transfer Services,點樣設立或管理自動轉賬指示
Transfer Services,我搵唔到我想過數比既公司
